Id,Question,A,B,C,D
1,Are you often late?,Never,Sometimes it happens,"Yes, it happens often",
2,What do you pay attention to when first meeting a new person?,,Their opinion of me,Appearance,Their ability to talk 
3,What is fits you better?,Leaving your comfort zone,Comfort and stability,,
4,Do you think you have leadership qualities?,"Yes, I'm natural leader",Something between yes and no,"No, it's not me",I'd really like to become a leader
5,What is most important for you in a relationship?,Mutual understanding,"Drive, fun",Loyalty ,Calmness and stability
6,Are you a practical person?,"No, it's not me","Yes, I try to be practical",,
7,Someone nearby is offended and is not talking. What is your reaction?,Try to figure out what's wrong,"Ignore, I don't like manipulation",Start to apologize immediately,Get mad as well
8,Does a person's star sign matter to you?,"Yes, astrology is important","No, I don’t care about it ",,
9,What sphere of life is your priority right now?,Love life,Career,Health and fitness,
10,What role does spontaneity play in your life?,"I love spontaneity, improvization, flying by the seat of my pants",I prefer to stick to a plan,A bit of both,
11,How do you react to outside pressure?,"Resist, react violently",Calmly uphold personal boundaries,I'm okay with it,"Get lost, don't know how to react"
12,What type of thinking is closer to yours?,,,,
13,How easily do you get carried away with a new idea or direction?,"Easy, let's turn that new idea into a reality",Quickly light up with eagerness and then quickly burn out,I rarely have ideas,
14,How do you rate your level of cooking?,Fabulous,It's better not to feed anyone,"Middling
",Can't cook
15,What kind of music do you prefer?,,,,I'm a music lover
16,How do you express your emotions?,I express them openly,I don't show my true emotions,,
17,How do you feel about debates?,Don't mind arguing,Don't like to get into it,Depends on who I'm talking to,Only if the topic of the debate is very important to me
18,How long do you remember the mistakes of past relationships?,,,,
19,Do you like shopping?,,,Depends on my mood,Rarely go shopping
20,What is more typical for you?,Sense of duty and responsibility,"Thinking about myself, protecting my inner world",I do what I want but keep everything in line,"Enjoy life, have freedom"
21,Rate your openness to people,I'm sociable and optimistic,"I'm shy, prone to introspection",,
22,Do emotions affect your productivity?,,,,
23,Do you feel like your motives are similar to those of other people?,"Yes, my values are the same","No, I'm a bit of a rebel",Their motives are not credible,
24,Are other people's moral values important to you?,"Yes, definitely","No, it's not a very important thing for me",,
25,Do you have a habit of dramatizing certain situations?,"Yes, I'm a very emotional person","Happens, but rarely",,
26,Does routine cause a sharp decline in your mood?,"Yes, I can't live in a routine","No, I'm quite calm about it",Always different,
27,Are you often unable to sit still?,,,,
28,Are you straight shooter?,"Yes, I prefer to tell only the truth, whatever it is","No, I'm more delicate",Depends on the person,
29,Are you an enterprising person?,,,Depends on the situation,
30,Do you make decisions quickly?,,,,
31,"Can your mood be called, sharply changeable?","Yes, I'm prone to mood swings","No, I'm emotionally balanced ",Only in certain periods,I'm bad at keeping track of my mood
32,Can you be called a stubborn person?,"Yes, I can't be convinced of anything","No, I can compromise",Depends on the situation or company,
33,"Are you aggressive in achieving your goals?
","Yes, I can step on people to achieve it",I'm reluctant to reach my goals,,
34,Are you tolerant to others' shortcomings?,,,,
35,Can you take a risk easily?,"Yes, I love risk and excitement","No, I'm a more careful person",,
36,"Is the phrase ""The best defense is a good offense"" about you?",,,,
37,Do you get pissed off easily?,"Yes, I'm quite hot-tempered","No, I'm not easy to piss off",Depends on the period,I don’t like to show aggression
38,Which temperament is closer to yours?,,,,
39,Can people be trusted?,"Yes, I'm very open to others","Trust, but verify",Always different,"No, I don't trust other people"
40,Do you still remember your childhood grudges?,"Yes, grievances remain",,"No, I don't notice",I think it's pointless to hold grudges
41,Do you like competition?,"Yes, it gets me excited",Depends on the situation,No I don't like this,It scares me
42,"Is the phrase ""I've learned that it's important not to expect too much from others"" true to you?",,,,
43,I prefer when...,I'm taken care of,I take care of someone,,
44,Is the world a safe place?,,,,
45,Is it hard for you to find the motivation to take action?,"Yes, I need more time to start","No, I can easily get to work",,
46,Are you quick to mobilize in crisis situations?,"Yes, I don't lose my cool in a crisis","No, emotions take over and I get lost",,
47,Do you feel happy helping others?,,,,
48,Are you always looking out best for yourself?,"Yes, I strive for a better life",I don't always find motivation,"No, this is not about me",
49,Do you love many people?,,Only close people,,
50,Are you always looking for ways to improve yourself?,"Yes, this is me
","No, it's not important for me",Depends on the period,
