Id,Locale,Question,Categories,Question type,Answer type,Selector type,vertical_options subtypes,two_horizontal_options subtypes,A,B,C,D
1,RU,Ты часто опаздываешь?,Priorities,message,message,vertical_options,regular,,Ни в коем случае,Иногда бывает,"Да, часто такое случается",
,EN,Do you often late?,Priorities,message,message,vertical_options,regular,,In no case,Sometimes it happens,"Yes, this happens often",
2,RU,"На что изначально обращаешь внимание, знакомясь с новым человеком?",Relations,message,message,vertical_options,regular,,Манеры,Его мнение обо мне,Внешность,Умение строить диалог
,EN,What do you pay attention in the first place meeting a new person?,Relations,message,message,vertical_options,regular,,Manners,Person's opinion of me,Appearance,Ability to talk 
3,RU,Что тебе ближе?,Elements,message,message,two_horizontal_options,,Detailed,Выходить из зоны комфорта,Комфорт и стабильность,,
,EN,What is closer to you?,Elements,message,message,two_horizontal_options,,Detailed,Leave your comfort zone,Comfort and stability,,
4,RU,"Как ты считаешь, у тебя есть лидерские качества?",Elements,message,message,vertical_options,regular,,"Да, я прирождённый лидер",Что-то между да и нет,"Нет, это мне не близко",Очень хочу стать лидером
,EN,Do you think you have leadership qualities?,Elements,message,message,vertical_options,regular,,"Yes, I'm natural leader",Something between yes and no,"No, it's not close to me",I really want to become a leader
5,RU,Что для тебя имеет огромное значение в отношениях?,Relations,message,message,vertical_options,regular,,Взаимопонимание,"Драйв, веселье",Преданность,Спокойствие и стабильность
,EN,What is the most important for you in relations?,Relations,message,message,vertical_options,regular,,Mutual understanding,"Drive, fun",Loyalty ,Calm and stability
6,RU,Ты практичный человек?,Elements,message,message,two_horizontal_options,,Detailed,"Нет, это мне не близко","Да, стараюсь ", ,
,EN,Are you a practical person?,Elements,message,message,two_horizontal_options,,Detailed,"No, it's not close to me","Yes, I try to be practical",,
7,RU,Близкий человек надулся и не разговаривает. Твоя реакция?,Relations,message,message,vertical_options,regular,,Попробую выяснить в чём дело,"Проигнорирую, не люблю манипуляции",Начну сразу просить прощения,Буду злиться на него в ответ
,EN,A close person is offended and does not talk. What is your reaction?,Relations,message,message,vertical_options,regular,,Try to figure out what's wrong,"Ignore, don't like manipulations",Start to apologize immediately,Would be mad in return
8,RU,Имеет ли для тебя значение знак зодиака человека?,Rational/Irrational,message,message,two_horizontal_options,,Detailed,"Да, люблю астрологию","Нет, не придаю этому значение",,
,EN,Does a person's star sign matter to you?,Rational/Irrational,message,message,two_horizontal_options,,Detailed,"Yes, I love astrology"," No,I don’t care about ",,
9,RU,Какая сфера жизни у тебя сейчас стоит в приоритете?,Priorities,message,message,vertical_options,regular,,Личная жизнь,Карьера,Здоровье и активный образ жизни,Другое
,EN,What sphere of life is your priority right now?,Priorities,message,message,vertical_options,regular,,Love life,Career,Health and active lifestyle,Other
10,RU,Какую роль в твоей жизни играет спонтанность?,Elements,message,message,vertical_options,regular,,"Люблю спонтанность, импровизацию, отсутствие чёткого плана",Больше люблю придерживаться намеченного плана,"Совмещаю и то, и другое",Затрудняюсь ответить
,EN,What role does spontaneity play in your life?,Elements,message,message,vertical_options,regular,,"Love spontaneity, improvisation, no clear plan",Prefer to stick to the plan,Combine both,Difficult to answer
11,RU,Как ты реагируешь на давление со стороны?,Elements,message,message,vertical_options,regular,,"Оказываю сопротивление, бурно реагирую",Спокойно отстаиваю личные границы,Я спокойно отношусь к этому,"Теряюсь, не знаю как реагировать"
,EN,How do you react to outside pressure?,Elements,message,message,vertical_options,regular,,"Resist, react violently",Calmly uphold personal boundaries,I'm okay with it,"Get lost, don't know how to react"
12,RU,Какой тип мышления тебе ближе?,Elements,message,message,two_horizontal_options,,Detailed,Рациональный,Интуитивный,,
,EN,What type of thinking is closer to you?,Elements,message,message,two_horizontal_options,,Detailed,Rational,Intuitive,,
13,RU,Насколько легко ты увлекаешься новой идеей или направлением?,Elements,message,message,vertical_options,regular,,"Легко, обязательно воплощаю новую идею в реальность",Быстро загораюсь желанием и быстро перегораю,Мне редко приходят идеи,Затрудняюсь ответить
,EN,How easily do you get carried away with a new idea or direction?,Elements,message,message,vertical_options,regular,,"Easy, sure turn a new idea into reality",Quickly light up with desire and quickly burn out,I rarely have ideas,Difficult to answer
14,RU,Как ты оцениваешь свой уровень кулинарной готовки?,Interests,message,message,vertical_options,regular,,Белиссимо,Лучше этим никого не угощать,Среднее,Не умею готовить
,EN,How do you rate your level of cooking?,Interests,message,message,vertical_options,regular,,Fabulous,It's better not to feed this anyone,"Middling
",Can't cook
15,RU,Какой жанр музыки предпочитаешь?,Interests,message,message,vertical_options,regular,,Поп,Рок,"Рэп, хип-хоп",Я меломан
,EN,What kind of music do you prefer?,Interests,message,message,vertical_options,regular,,Pop,Rock,"Rap, hip-hop",I'm a music lover
16,RU,Как ты выражаешь свои эмоции?,Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,Выражаю их открыто,Не показываю истинные эмоции,,
,EN,How do you express your emotions?,Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,I express them openly,I don't show my true emotions,,
17,RU,Как ты относишься к спору?,Elements,message,message,vertical_options,regular,,Не против поспорить,Не люблю вступать в него,Смотря с кем разговариваю,Если только тема спора очень важна для меня
,EN,How do you feel about the dispute?,Elements,message,message,vertical_options,regular,,Don't mind arguing,Don't like to get into it,Depends on who I'm talking to,If only the topic of the dispute is very important for me
18,RU,Долго ли ты помнишь ошибки прошлого в отношениях?,Relations,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,How long do you remember the mistakes of the past in a relations?,Relations,message,message,two_horizontal_options,,Yes/No,Yes,No,,
19,RU,Любишь ходить по магазинам?,Interests,message,message,vertical_options,regular,,Обожаю,Не люблю,Зависит от настроения,Редко хожу по магазинам
,EN,Do you like shopping?,Interests,message,message,vertical_options,regular,,Love,Don’t like,Depends on my mood,Rarely go shopping
20,RU,Что для тебя более характерно?,Priorities,message,message,vertical_options,regular,,Чувство долга и ответственности перед другими,"Думать о себе и своем внутреннем мире, защищать его",Поступать по своей воле и держать ситуацию под контролем,"Наслаждаться жизнью, иметь свободу"
,EN,What is more typical for you?,Priorities,message,message,vertical_options,regular,,Sense of duty and responsibility,"Thinking about myself, protect my inner world",Do what I want and to keep everything in line,"Enjoy life, have freedom"
21,RU,Оцени свою открытость людям,Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,Я общителеный и контактный,"Я застенчив, склонен к самоанализу",,
,EN,Rate your openness to people,Introversion/Extraversion,message,message,two_horizontal_options,,Detailed,I'm sociable and optimistic,"I'm shy, prone to introspection",,
22,RU,Эмоции влияют на твою продуктивность?,Elements,message,message,two_horizontal_options,,Yes/No,Да,Нет,,
,EN,Do emotions affect your productivity?,Elements,message,message,two_horizontal_options,,Yes/No,Yes,No,,
23,RU,"Кажется ли тебе, что твои мотивы сходны с мотивами других людей?",Priorities,message,message,vertical_options,regular,,"Да, мои ценности соответствуют ценностям окружающих","Нет, я своего рода бунтарь",Обычно мотивы других не оправдывают мои ожидания,Затрудняюсь ответить
,EN,Do you feel like your motives are similar to those of other people?,Priorities,message,message,vertical_options,regular,,"Yes, my values is the same","No, I'm kind of a rebel",Their motives are not credible,Difficult to answer
